Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;African Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;993.163;495.395;497.768;1.434;80.106;131.799;136.500;98.837;24.326;14.302;8.092;1.392;77.901;129.196;135.610;100.626;26.410;16.366;10.267
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;603.285.643;317.639.389;285.646.253;52.387.195;90.117.668;31.281.198;45.505.727;50.392.989;17.985.328;15.622.315;14.346.969;39.662.686;82.186.671;29.438.501;42.332.549;46.004.492;15.129.551;14.628.408;16.263.396
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;374.228.660;193.516.619;180.712.042;47.691.087;71.852.023;17.639.962;17.374.655;24.419.728;6.500.263;4.346.066;3.692.835;35.672.564;66.692.152;17.888.892;23.483.864;24.890.611;4.720.732;3.647.681;3.715.546
20;;A.;Infectious and parasitic diseases;;;191.960.624;101.655.871;90.304.753;1.854.110;40.024.120;12.907.631;14.547.961;21.914.492;5.291.108;2.964.534;2.151.914;1.192.577;37.311.398;13.130.287;13.265.230;17.232.998;3.602.323;2.422.043;2.147.897
30;;;1.;Tuberculosis;;18.601.525;11.684.253;6.917.272;3;851.418;391.094;3.094.964;4.090.310;1.538.608;958.407;759.450;4;825.557;456.738;1.763.942;1.897.248;766.495;613.923;593.364
40;;;2.;STDs excluding HIV;;6.256.142;2.793.959;3.462.182;429.509;1.558.139;337.345;229.389;200.212;31.158;4.718;3.488;344.518;1.895.826;640.988;294.523;248.785;22.685;9.123;5.735
50;;;;a.;Syphilis;5.287.975;2.368.328;2.919.647;429.509;1.558.139;333.761;10.058;20.460;10.220;3.264;2.917;344.518;1.895.826;632.685;30.024;10.130;2.741;1.895;1.829
60;;;;b.;Chlamydia;290.513;131.171;159.342;0;0;931;92.471;37.173;543;52;1;0;0;2.643;77.471;73.467;4.272;1.028;462
70;;;;c.;Gonorrhoea;361.591;220.934;140.657;0;0;1.900;92.645;109.904;16.054;396;35;0;0;2.450;77.257;53.078;4.601;1.738;1.533
80;;;;d.;Trichomoniasis;49.974;0;49.974;0;0;0;0;0;0;0;0;0;0;604;26.857;18.457;2.804;886;366
85;;;;e.;Genital herpes;42.636;14.300;28.336;0;0;255;4.818;6.239;1.561;915;512;0;0;680;11.084;10.859;2.861;1.756;1.095
90;;;;f.;Other STDs;223.453;59.227;164.226;0;0;498;29.397;26.437;2.780;91;23;0;0;1.925;71.830;82.796;5.407;1.820;449
100;;;3.;HIV/AIDS;;45.817.571;23.733.591;22.083.980;28.034;2.920.369;2.052.590;3.618.785;12.310.138;2.098.124;562.884;142.667;28.034;2.857.674;1.958.771;4.487.468;10.896.485;1.383.593;379.801;92.155
110;;;4.;Diarrhoeal diseases;;43.339.198;23.298.593;20.040.605;321.975;13.434.382;2.593.582;2.425.471;2.118.106;769.710;792.351;843.017;229.350;10.850.948;2.535.498;2.304.767;1.627.661;687.448;822.336;982.597
120;;;5.;Childhood-cluster diseases;;8.377.663;4.300.177;4.077.487;909.601;2.302.534;729.946;205.156;103.763;30.486;14.239;4.452;506.256;2.374.955;966.159;145.294;51.749;14.976;9.572;8.528
130;;;;a.;Whooping cough;577.203;234.739;342.464;0;13.073;197.938;18.524;4.317;888;0;0;0;16.048;298.982;22.388;4.182;865;0;0
140;;;;b.;Diphtheria;90.428;46.246;44.182;0;33.981;8.535;2.152;1.204;375;0;0;0;32.237;9.119;1.609;879;338;0;0
150;;;;c.;Measles;5.748.779;2.745.506;3.003.273;0;2.242.556;454.356;44.052;4.050;492;0;0;0;2.319.729;611.617;65.573;5.962;393;0;0
160;;;;d.;Tetanus;1.961.253;1.273.685;687.568;909.601;12.924;69.116;140.428;94.192;28.731;14.239;4.452;506.256;6.941;46.441;55.724;40.726;13.381;9.572;8.528
170;;;6.;Meningitis;;14.071.671;7.456.615;6.615.056;1.471;2.805.661;1.800.033;1.571.082;802.730;210.426;168.022;97.190;1.397;2.876.241;1.578.579;1.209.800;550.890;150.647;118.168;129.334
180;;;7.;Encephalitis;;956.537;520.138;436.399;54;184.117;122.405;116.077;65.513;16.364;9.985;5.622;38;166.999;92.137;90.710;52.024;14.228;14.394;5.868
185;;;8.;Hepatitis;;1.768.269;903.161;865.108;4;151.350;117.199;292.118;218.670;57.062;39.752;27.006;4;110.252;93.933;290.607;225.560;81.509;38.739;24.504
186;;;;a.;Acute hepatitis A;70.890;42.555;28.336;0;34.226;2.311;3.911;1.165;362;315;265;0;20.992;1.868;3.401;1.029;526;285;236
190;;;;b.;Acute hepatitis B;1.248.648;633.058;615.590;4;58.387;27.447;232.422;206.040;51.798;34.948;22.013;4;38.333;19.166;219.284;211.340;73.399;33.872;20.192
200;;;;c.;Acute hepatitis C;37.548;18.359;19.190;0;721;5.667;3.925;3.436;2.194;1.660;756;0;611;4.417;4.356;3.798;3.592;1.694;723
205;;;;d.;Acute hepatitis E;411.181;209.189;201.992;0;58.017;81.774;51.860;8.030;2.708;2.829;3.972;0;50.316;68.482;63.566;9.393;3.992;2.888;3.353
210;;;9.;Parasitic and vector diseases;;42.609.166;21.472.016;21.137.151;758;13.336.255;3.149.748;2.278.874;1.697.167;450.052;341.845;217.316;850;13.549.901;3.170.651;1.992.575;1.421.022;405.159;347.334;249.657
220;;;;a.;Malaria;35.750.126;17.695.427;18.054.699;714;13.173.927;2.390.852;1.094.187;627.464;151.969;146.669;109.646;831;13.390.654;2.558.509;1.086.396;565.660;159.397;164.467;128.786
230;;;;b.;African Trypanosomiasis;204.321;100.119;104.202;0;2.795;35.291;37.360;18.898;3.421;1.665;689;0;2.859;39.634;36.897;19.169;3.123;1.704;817
240;;;;c.;Chagas disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;;;;d.;Schistosomiasis;2.279.852;1.133.613;1.146.238;0;13.557;136.182;380.049;361.304;114.004;81.839;46.679;0;13.192;140.643;362.251;367.803;117.377;87.394;57.578
260;;;;e.;Leishmaniasis;172.250;93.851;78.399;0;10.084;11.962;30.461;19.214;4.005;10.343;7.783;0;10.608;11.147;24.606;13.464;3.321;8.296;6.957
270;;;;f.;lymphatic filariasis;671.652;572.865;98.787;0;0;86.861;148.354;225.683;70.169;30.235;11.564;0;0;10.992;23.877;41.207;13.619;6.497;2.596
280;;;;g.;Onchocerciasis;989.542;533.097;456.445;0;0;91.912;170.009;161.556;51.027;36.231;22.362;0;0;79.687;141.471;133.191;44.576;33.652;23.867
285;;;;h.;Cysticercosis;1.082.706;535.717;546.989;0;14.139;71.054;195.710;189.064;36.270;20.690;8.790;0;19.271;98.993;166.332;178.686;42.562;26.783;14.363
295;;;;i.;Echinococcosis;36.336;17.082;19.254;0;1.103;4.893;5.258;3.909;1.012;634;274;0;1.430;6.137;5.056;4.022;1.262;895;454
300;;;;j.;Dengue;88.873;38.850;50.023;0;9.795;11.462;9.395;5.521;1.298;859;519;0;14.611;14.169;10.931;6.556;1.688;1.234;834
310;;;;k.;Trachoma;40.667;16.842;23.825;0;0;0;495;2.006;2.294;5.051;6.995;0;0;0;568;2.948;3.397;7.116;9.796
315;;;;l.;Yellow fever;545.306;372.362;172.945;45;27.535;155.558;135.681;44.178;5.959;2.578;829;19;12.343;77.290;60.951;18.118;2.595;1.211;419
320;;;;m.;Rabies;747.535;362.191;385.344;0;83.320;153.722;71.914;38.370;8.626;5.052;1.186;0;84.933;133.452;73.239;70.199;12.244;8.087;3.190
330;;;10.;Intestinal nematode infections;;1.150.014;521.443;628.572;0;177.758;151.286;96.019;64.910;16.147;9.704;5.618;0;222.442;169.096;118.110;80.598;18.983;11.526;7.817
340;;;;a.;Ascariasis;575.608;257.383;318.225;0;147.743;70.496;19.511;13.209;3.351;1.964;1.109;0;193.935;84.727;19.083;13.135;3.620;2.257;1.468
350;;;;b.;Trichuriasis;88.534;43.909;44.624;0;4.069;17.531;10.898;7.627;1.975;1.143;667;0;3.909;17.361;10.765;7.881;2.314;1.387;1.007
360;;;;c.;Hookworm disease;485.873;220.150;265.722;0;25.946;63.258;65.611;44.074;10.821;6.597;3.843;0;24.598;67.008;88.262;59.581;13.049;7.881;5.342
362;;;;d.;Food-bourne trematodes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
365;;;11.;Leprosy;;74.562;33.946;40.617;0;5;60;766;9.449;9.375;8.999;5.292;0;2;24;731;8.371;9.996;12.781;8.711
370;;;12.;Other infectious diseases;;8.938.307;4.937.980;4.000.327;162.700;2.302.133;1.462.343;619.261;233.525;63.595;53.628;40.795;82.128;1.580.603;1.467.712;566.702;172.605;46.604;44.346;39.627
380;;B.;Respiratory Infectious ;;;60.901.198;31.914.468;28.986.730;3.837.282;18.527.875;2.316.507;1.843.273;1.875.234;997.540;1.196.418;1.320.338;2.806.562;17.670.302;2.555.334;1.598.140;1.317.587;775.511;968.291;1.295.002
390;;;1.;Lower respiratory infections;;59.324.295;31.107.781;28.216.514;3.833.594;18.307.521;2.063.070;1.654.562;1.777.677;972.830;1.184.202;1.314.326;2.803.313;17.462.697;2.320.971;1.416.488;1.221.137;749.378;954.772;1.287.756
400;;;2.;Upper respiratory infections;;840.562;422.152;418.410;3.452;116.514;105.711;105.408;66.063;13.744;7.557;3.702;2.860;114.330;104.218;103.361;65.836;14.621;8.468;4.717
410;;;3.;Otitis media;;736.340;384.534;351.806;235;103.839;147.726;83.303;31.494;10.966;4.660;2.310;389;93.275;130.145;78.291;30.614;11.512;5.052;2.529
420;;C.;Maternal conditions;;;12.228.614;0;12.228.614;0;0;0;0;0;0;0;0;0;0;933;6.998.179;5.222.613;6.889;0;0
490;;D.;Neonatal conditions;;;83.597.975;47.139.424;36.458.550;41.979.842;4.700.458;189.034;162.378;86.765;13.501;5.569;1.877;31.656.324;4.166.817;248.636;223.263;127.716;22.953;9.715;3.126
500;;;1.;Preterm birth complications;;32.524.054;18.125.831;14.398.223;15.250.404;2.686.198;74.886;66.944;36.946;6.185;2.945;1.321;11.980.996;2.215.414;76.080;71.517;41.181;7.569;3.670;1.797
510;;;2.;Birth asphyxia and birth trauma;;30.273.680;17.410.702;12.862.978;15.831.257;1.468.192;46.015;39.378;20.879;3.306;1.340;336;11.395.880;1.331.360;53.152;48.038;27.046;4.974;2.070;459
520;;;3.;Neonatal sepsis and infections;;16.518.568;9.369.576;7.148.992;9.164.573;78.660;55.356;44.523;22.423;2.986;910;146;6.750.414;134.701;106.670;91.706;52.293;9.063;3.414;732
530;;;4.;Other neonatal conditions;;4.281.673;2.233.316;2.048.357;1.733.607;467.408;12.778;11.533;6.517;1.024;375;74;1.529.035;485.342;12.734;12.002;7.196;1.347;562;139
540;;E.;Nutritional deficiencies;;;25.540.249;12.806.857;12.733.392;19.854;8.599.570;2.226.790;821.043;543.236;198.114;179.544;218.706;17.099;7.543.634;1.953.702;1.399.051;989.697;313.057;247.631;269.521
550;;;1.;Protein-energy malnutrition;;16.734.875;9.070.052;7.664.822;7.544;7.298.962;839.977;293.518;230.044;115.408;120.248;164.352;6.471;6.248.730;710.723;262.806;150.241;62.573;82.970;140.309
560;;;2.;Iodine deficiency;;713.651;278.481;435.170;0;15.249;49.471;103.445;74.741;18.808;10.590;6.177;0;22.811;74.931;157.625;115.626;31.518;19.764;12.896
