Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Region of the Americas;;;;;;;;;;;;;;;;;;;;;;
Year:;;2010;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;934.907;462.408;472.499;645;38.227;79.446;116.756;125.255;47.858;30.227;23.994;619;36.610;76.230;113.672;127.876;50.636;33.673;33.184
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;279.871.256;153.984.445;125.886.811;7.091.159;8.331.044;7.145.372;25.921.536;34.844.703;22.079.091;20.929.242;27.642.298;5.561.232;7.494.504;6.293.087;15.485.672;26.168.764;17.064.820;16.807.130;31.011.601
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;35.365.149;18.969.573;16.395.576;5.563.556;3.602.699;1.010.634;1.660.128;3.143.360;1.317.362;1.017.671;1.654.164;4.255.193;3.219.050;958.519;1.789.412;2.564.617;914.854;812.302;1.881.628
20;;A.;Infectious and parasitic diseases;;;11.409.781;6.566.965;4.842.816;73.178;1.230.635;401.686;919.949;2.171.857;764.777;477.743;527.141;53.531;1.121.536;367.010;639.596;1.261.320;450.197;356.404;593.222
30;;;1.;Tuberculosis;;801.453;539.199;262.254;0;19.874;9.619;86.541;205.272;96.622;67.413;53.858;0;15.886;10.479;62.414;80.763;34.366;27.847;30.498
40;;;2.;STDs excluding HIV;;477.780;210.534;267.246;29.326;59.158;6.450;48.499;48.791;7.617;5.164;5.529;23.905;75.020;9.378;54.898;73.720;14.529;7.907;7.888
50;;;;a.;Syphilis;229.566;112.141;117.426;29.326;59.158;5.770;1.251;5.025;3.808;3.459;4.345;23.905;75.020;8.341;1.758;2.714;1.643;1.561;2.485
60;;;;b.;Chlamydia;79.975;40.271;39.704;0;0;197;25.265;14.353;410;45;1;0;0;294;19.347;17.589;1.551;494;430
70;;;;c.;Gonorrhoea;54.035;31.459;22.575;0;0;281;12.754;17.483;779;120;43;0;0;182;7.289;11.366;1.427;929;1.383
80;;;;d.;Trichomoniasis;33.666;0;33.666;0;0;0;0;0;0;0;0;0;0;150;12.228;15.154;3.916;1.415;803
85;;;;e.;Genital herpes;39.245;14.685;24.560;0;0;131;3.315;6.208;2.414;1.500;1.116;0;0;229;5.540;9.954;3.924;2.542;2.371
90;;;;f.;Other STDs;41.293;11.979;29.314;0;0;71;5.914;5.722;207;41;24;0;0;182;8.736;16.944;2.068;966;418
100;;;3.;HIV/AIDS;;3.298.957;2.200.635;1.098.322;1.094;63.975;30.227;375.261;1.327.885;304.524;79.635;18.035;1.091;60.326;26.866;211.149;649.321;114.438;28.524;6.607
110;;;4.;Diarrhoeal diseases;;2.578.715;1.328.460;1.250.255;10.000;721.969;156.757;99.685;108.506;55.657;58.271;117.616;8.319;637.458;148.757;70.958;93.068;62.003;65.597;164.093
120;;;5.;Childhood-cluster diseases;;75.302;47.974;27.328;16.314;11.688;6.617;2.874;5.375;2.563;1.587;955;7.171;11.358;4.969;974;943;628;537;749
130;;;;a.;Whooping cough;31.408;15.554;15.854;0;10.655;4.057;530;232;49;0;32;0;10.692;4.398;527;159;79;0;0
140;;;;b.;Diphtheria;1.363;791;572;0;539;86;34;93;10;30;0;0;475;56;18;16;7;0;0
150;;;;c.;Measles;120;118;2;0;0;2;71;46;0;0;0;0;0;1;0;0;0;0;0
160;;;;d.;Tetanus;42.412;31.511;10.900;16.314;494;2.473;2.240;5.005;2.504;1.556;924;7.171;191;514;428;768;542;537;749
170;;;6.;Meningitis;;591.104;325.122;265.982;2.713;161.507;33.517;45.680;46.542;18.375;9.657;7.131;1.926;144.508;27.466;30.562;31.551;13.311;9.544;7.115
180;;;7.;Encephalitis;;561.768;289.768;272.000;600;39.207;29.072;38.283;59.145;34.673;35.811;52.976;472;34.656;24.199;34.524;49.448;30.276;33.345;65.081
185;;;8.;Hepatitis;;238.113;140.486;97.627;1;9.875;9.864;17.394;34.330;30.507;19.450;19.066;1;8.327;8.631;11.485;17.526;14.595;14.197;22.866
186;;;;a.;Acute hepatitis A;34.172;17.975;16.197;0;3.461;805;1.253;3.171;4.392;2.606;2.286;0;3.073;844;1.431;2.236;2.731;2.559;3.324
190;;;;b.;Acute hepatitis B;117.396;75.759;41.637;1;2.478;2.759;11.242;25.463;18.247;10.213;5.355;1;1.876;2.898;5.925;12.237;7.811;5.716;5.175
200;;;;c.;Acute hepatitis C;1.263;689;574;0;120;105;126;134;104;66;34;0;106;85;106;103;73;64;38
205;;;;d.;Acute hepatitis E;85.283;46.064;39.219;0;3.815;6.195;4.773;5.563;7.764;6.564;11.391;0;3.272;4.804;4.023;2.950;3.980;5.859;14.330
210;;;9.;Parasitic and vector diseases;;993.358;537.802;455.556;5;43.132;38.615;90.987;153.097;83.815;67.646;60.506;2;43.021;35.354;65.880;122.772;65.008;56.962;66.555
220;;;;a.;Malaria;53.546;28.126;25.420;1;11.139;1.819;9.319;4.107;1.003;472;265;1;10.426;2.539;8.118;3.214;537;367;219
230;;;;b.;African Trypanosomiasis;48;30;18;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;18
240;;;;c.;Chagas disease;266.120;157.340;108.780;0;155;548;7.080;39.592;38.936;36.754;34.275;0;143;594;5.432;22.153;22.137;25.874;32.447
250;;;;d.;Schistosomiasis;130.892;60.713;70.180;0;3;178;8.099;28.320;11.826;7.319;4.968;0;3;306;8.552;33.494;13.085;7.766;6.974
260;;;;e.;Leishmaniasis;54.138;32.050;22.087;0;13.290;1.765;4.262;6.570;2.725;1.725;1.712;0;12.150;1.455;2.865;3.178;714;937;788
