Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Eastern Mediterranean Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;651.529;335.887;315.642;721;40.755;70.196;92.491;86.787;23.705;13.019;8.213;679;38.575;66.443;87.054;78.887;22.088;13.025;8.891
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;251.928.455;135.732.110;116.196.345;24.347.581;20.758.619;9.809.311;20.119.306;24.081.317;12.298.907;11.425.009;12.892.061;20.264.775;20.241.159;8.596.132;15.519.930;19.360.253;9.671.441;9.679.562;12.863.093
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;89.366.842;45.343.247;44.023.595;21.515.206;13.652.015;2.989.391;2.295.251;2.566.605;818.506;661.425;844.849;17.999.642;14.159.089;3.054.222;3.599.138;3.021.163;693.618;604.265;892.458
20;;A.;Infectious and parasitic diseases;;;26.726.962;13.657.411;13.069.551;1.065.561;6.227.816;1.633.550;1.470.896;1.876.257;549.157;389.676;444.499;779.457;6.647.256;1.736.195;1.364.067;1.252.325;417.733;355.686;516.833
30;;;1.;Tuberculosis;;3.653.957;1.864.152;1.789.805;1;144.452;84.223;369.251;601.905;253.987;199.131;211.202;2;172.430;183.538;462.012;455.597;182.421;149.965;183.839
40;;;2.;STDs excluding HIV;;2.739.812;1.438.959;1.300.853;160.606;708.810;68.318;179.832;292.519;25.065;2.031;1.779;129.269;870.981;137.011;62.966;87.497;8.463;2.948;1.718
50;;;;a.;Syphilis;2.090.310;948.557;1.141.753;160.606;708.810;67.105;2.409;4.464;2.356;1.270;1.536;129.269;870.981;135.778;2.136;1.627;793;562;609
