Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;European Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2016;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;916.166;444.247;471.918;476;28.626;55.007;89.050;127.670;59.295;44.536;39.587;450;27.058;52.226;85.534;128.398;63.926;52.866;61.460
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;300.416.462;161.119.802;139.296.660;2.920.279;3.393.055;3.030.903;12.559.328;33.218.010;28.122.154;32.440.578;45.435.495;2.317.151;2.813.738;2.719.789;9.437.218;23.030.013;18.545.183;23.096.212;57.337.355
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;21.628.790;12.160.773;9.468.016;2.190.300;1.472.712;489.961;1.019.753;3.258.472;1.357.179;901.098;1.471.297;1.700.447;1.216.051;515.960;1.034.034;2.042.574;689.909;554.839;1.714.202
20;;A.;Infectious and parasitic diseases;;;7.558.730;4.709.718;2.849.012;25.468;452.931;114.539;482.369;2.141.436;716.581;355.556;420.838;19.362;360.025;104.901;350.808;1.026.096;290.551;195.926;501.343
30;;;1.;Tuberculosis;;1.093.647;838.490;255.158;0;5.041;2.290;90.165;392.580;210.302;98.034;40.077;0;4.473;2.701;45.111;110.277;40.756;23.961;27.879
40;;;2.;STDs excluding HIV;;395.838;208.710;187.128;1.603;6.237;1.342;79.768;92.748;13.014;6.748;7.249;1.350;7.258;1.177;50.263;94.374;14.638;8.583;9.485
50;;;;a.;Syphilis;51.140;30.932;20.208;1.603;6.237;251;927;5.841;5.020;4.978;6.075;1.350;7.258;468;613;2.426;2.011;2.212;3.869
60;;;;b.;Chlamydia;96.561;47.631;48.929;0;0;103;27.629;19.048;658;186;7;0;0;202;15.670;29.724;2.367;588;379
70;;;;c.;Gonorrhoea;133.524;96.686;36.838;0;0;819;39.493;51.560;4.647;150;17;0;0;221;14.668;18.600;1.482;721;1.146
80;;;;d.;Trichomoniasis;17.242;0;17.242;0;0;0;0;0;0;0;0;0;0;59;4.819;7.695;2.568;1.275;827
85;;;;e.;Genital herpes;27.623;9.516;18.107;0;0;37;1.307;3.800;1.863;1.369;1.140;0;0;82;2.623;6.454;3.310;2.708;2.929
90;;;;f.;Other STDs;69.748;23.944;45.805;0;0;132;10.411;12.499;827;65;10;0;0;145;11.870;29.476;2.900;1.079;335
100;;;3.;HIV/AIDS;;3.030.003;2.051.093;978.909;142;13.826;3.941;174.060;1.420.637;343.353;81.336;13.798;138;13.137;3.929;135.576;661.856;129.964;29.965;4.345
110;;;4.;Diarrhoeal diseases;;1.023.903;507.709;516.194;4.454;243.006;45.149;35.119;43.370;24.465;29.896;82.250;4.088;204.830;43.947;36.660;37.632;23.403;31.282;134.352
120;;;5.;Childhood-cluster diseases;;23.623;12.236;11.387;4.335;5.295;913;567;545;233;108;240;2.913;5.431;1.031;628;525;187;181;490
130;;;;a.;Whooping cough;7.978;3.811;4.167;0;2.789;617;189;138;45;0;32;0;3.083;622;259;121;37;0;45
140;;;;b.;Diphtheria;1.176;684;492;0;283;71;60;154;94;17;6;0;235;132;21;52;35;0;16
150;;;;c.;Measles;5.064;2.559;2.504;0;2.223;173;87;50;15;0;11;0;2.113;131;93;94;30;41;3
160;;;;d.;Tetanus;9.406;5.181;4.225;4.335;0;52;231;203;79;91;191;2.913;0;146;255;258;85;141;426
170;;;6.;Meningitis;;305.600;172.947;132.652;302;35.034;14.829;28.978;49.868;21.019;13.632;9.285;302;30.241;11.419;22.058;30.574;14.757;11.671;11.631
180;;;7.;Encephalitis;;522.744;285.273;237.471;47;26.187;16.851;27.236;61.761;38.241;41.040;73.909;48;19.189;12.541;22.981;42.075;27.797;32.061;80.780
185;;;8.;Hepatitis;;215.005;116.999;98.006;1;19.630;3.036;9.205;23.224;16.567;15.316;30.021;1;18.101;2.918;8.426;10.512;6.864;8.505;42.679
186;;;;a.;Acute hepatitis A;43.280;22.187;21.092;0;13.278;444;824;1.054;1.332;1.566;3.689;0;12.011;433;812;554;602;1.001;5.681
190;;;;b.;Acute hepatitis B;100.407;62.926;37.480;1;3.363;1.032;7.078;20.476;12.862;10.042;8.072;1;3.103;1.074;6.362;9.109;5.230;5.332;7.270
200;;;;c.;Acute hepatitis C;1.611;934;677;0;143;129;81;178;170;145;89;0;123;90;84;97;106;98;79
205;;;;d.;Acute hepatitis E;69.707;30.951;38.756;0;2.846;1.431;1.222;1.516;2.203;3.563;18.170;0;2.864;1.321;1.168;752;927;2.074;29.650
210;;;9.;Parasitic and vector diseases;;65.907;35.963;29.944;0;3.234;2.718;5.192;8.948;5.420;5.217;5.233;0;2.685;2.027;3.516;6.315;3.591;4.205;7.606
220;;;;a.;Malaria;188;81;107;0;19;13;31;13;3;1;0;0;19;41;30;13;3;1;0
230;;;;b.;African Trypanosomiasis;10;10;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;1.119;579;540;0;0;1;55;157;115;103;147;0;0;1;26;191;88;95;139
250;;;;d.;Schistosomiasis;604;272;332;0;0;3;69;105;41;29;25;0;0;3;51;152;43;48;35
260;;;;e.;Leishmaniasis;3.518;1.809;1.708;0;223;68;176;482;312;270;280;0;213;67;220;425;258;262;264
270;;;;f.;lymphatic filariasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;;;;g.;Onchocerciasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;;;;h.;Cysticercosis;1.325;507;818;0;0;0;53;172;113;81;88;0;0;1;73;243;169;135;197
295;;;;i.;Echinococcosis;49.158;26.696;22.462;0;1.115;1.275;3.494;7.013;4.567;4.606;4.626;0;1.276;1.146;2.216;4.529;2.848;3.523;6.925
300;;;;j.;Dengue;41;10;31;0;1;0;0;0;0;0;9;0;1;0;30;0;0;0;0
310;;;;k.;Trachoma;18;15;3;0;0;0;0;0;0;10;6;0;0;0;0;0;0;0;3
315;;;;l.;Yellow fever;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;;;;m.;Rabies;9.926;5.983;3.943;0;1.876;1.357;1.314;1.006;268;109;53;0;1.176;770;869;762;181;141;43
330;;;10.;Intestinal nematode infections;;9.179;4.350;4.829;0;481;921;893;1.064;474;279;239;0;483;871;871;1.141;566;395;503
340;;;;a.;Ascariasis;6.571;3.223;3.348;0;475;892;691;702;262;129;72;0;477;847;676;730;304;178;136
350;;;;b.;Trichuriasis;115;56;58;0;1;8;16;18;6;4;3;0;1;8;16;19;7;5;4
360;;;;c.;Hookworm disease;497;191;307;0;1;0;61;65;26;20;17;0;0;0;88;136;33;21;28
362;;;;d.;Food-bourne trematodes;1.996;880;1.117;0;4;20;125;278;179;126;147;0;3;16;91;256;222;192;336
365;;;11.;Leprosy;;38;20;19;0;0;0;0;5;5;5;3;0;0;0;0;4;5;6;4
370;;;12.;Other infectious diseases;;873.244;475.929;397.315;14.584;94.959;22.549;31.186;46.684;43.488;63.945;158.534;10.523;54.198;22.341;24.718;30.812;28.022;45.111;181.590
380;;B.;Respiratory Infectious ;;;6.525.959;3.797.757;2.728.202;98.318;498.196;171.683;264.994;785.107;528.351;478.719;972.388;89.958;426.556;161.402;212.726;367.096;213.367;232.967;1.024.130
390;;;1.;Lower respiratory infections;;5.260.657;3.183.237;2.077.420;97.713;426.141;58.794;142.013;632.904;460.085;434.073;931.515;89.405;359.142;53.007;86.082;206.449;138.298;180.191;964.846
400;;;2.;Upper respiratory infections;;967.067;464.506;502.561;560;44.853;76.302;94.698;125.891;51.201;36.152;34.851;511;42.262;74.641;99.834;134.932;56.550;43.119;50.712
410;;;3.;Otitis media;;298.234;150.013;148.220;46;27.202;36.588;28.283;26.313;17.065;8.495;6.023;41;25.152;33.754;26.810;25.715;18.519;9.657;8.572
420;;C.;Maternal conditions;;;151.826;0;151.826;0;0;0;0;0;0;0;0;0;0;12;77.000;74.655;160;0;0
490;;D.;Neonatal conditions;;;5.492.695;2.998.274;2.494.421;2.064.517;348.832;101.454;166.148;205.164;69.295;33.659;9.206;1.589.073;273.639;88.691;153.425;217.276;91.762;57.968;22.587
500;;;1.;Preterm birth complications;;2.769.831;1.506.495;1.263.336;1.109.170;146.708;44.654;72.756;88.045;27.643;12.962;4.558;861.894;114.246;40.092;70.790;100.017;40.183;25.004;11.110
510;;;2.;Birth asphyxia and birth trauma;;1.388.746;787.273;601.473;486.390;89.584;33.474;59.269;75.974;27.046;13.250;2.286;347.675;65.329;24.059;44.781;66.221;29.649;18.709;5.050
520;;;3.;Neonatal sepsis and infections;;710.302;357.699;352.602;250.627;11.379;18.295;25.972;31.958;11.524;5.967;1.978;209.670;13.094;20.715;31.255;42.402;18.359;11.833;5.272
530;;;4.;Other neonatal conditions;;623.816;346.806;277.010;218.330;101.161;5.031;8.151;9.186;3.081;1.481;385;169.834;80.969;3.826;6.598;8.636;3.571;2.422;1.155
540;;E.;Nutritional deficiencies;;;1.899.580;655.024;1.244.555;1.996;172.754;102.285;106.242;126.767;42.952;33.163;68.865;2.054;155.831;160.954;240.076;357.451;94.070;67.977;166.143
550;;;1.;Protein-energy malnutrition;;198.422;100.479;97.943;1.235;59.757;781;2.130;4.700;4.328;5.835;21.714;959;47.812;578;1.857;3.967;2.695;4.025;36.050
560;;;2.;Iodine deficiency;;308.419;105.793;202.626;0;772;6.452;22.921;35.444;16.487;12.583;11.134;0;971;10.914;40.212;63.290;31.412;25.992;29.835
570;;;3.;Vitamin A deficiency;;2.945;1.487;1.458;0;387;432;307;211;81;40;29;0;361;401;278;212;98;64;43
580;;;4.;Iron-deficiency anaemia;;1.349.406;425.782;923.624;762;107.700;94.061;79.790;82.214;19.037;11.490;30.728;1.095;103.712;148.647;196.548;287.449;58.481;35.973;91.720
590;;;5.;Other nutritional deficiencies;;40.388;21.483;18.905;0;4.138;558;1.094;4.198;3.020;3.215;5.261;0;2.975;415;1.181;2.533;1.383;1.923;8.494
600;II.;Noncommunicable diseases;;;;248.788.598;128.477.597;120.311.001;698.642;1.541.180;1.991.782;7.389.547;22.421.192;23.387.858;29.212.534;41.834.861;588.293;1.299.393;1.856.052;7.094.799;18.685.746;16.481.291;21.207.152;53.098.276
