Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Global;;;;;;;;;;;;;;;;;;;;;;
Year:;;2016;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;7.461.884;3.764.219;3.697.665;5.876;343.464;655.205;928.184;1.022.095;378.041;254.772;176.583;5.492;321.021;611.963;876.808;998.386;381.853;272.116;230.025
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;2.668.475.493;1.429.690.823;1.238.784.670;132.113.452;156.126.069;77.262.674;174.926.898;281.779.722;179.955.523;197.106.529;230.419.955;108.582.774;147.297.790;70.018.157;145.919.753;227.081.614;135.992.596;157.235.682;246.656.304
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;775.546.620;399.192.420;376.354.200;115.858.014;113.252.139;31.531.408;33.191.527;52.176.405;18.974.249;15.632.614;18.576.065;94.131.080;109.392.487;31.866.795;45.005.279;49.350.648;13.583.720;13.106.346;19.917.845
20;;A.;Infectious and parasitic diseases;;;331.709.174;179.417.819;152.291.355;3.654.678;56.173.075;19.246.230;24.722.897;42.878.532;14.026.745;9.972.693;8.742.969;2.571.998;54.698.567;19.541.576;21.974.457;28.748.401;8.528.942;7.506.276;8.721.138
30;;;1.;Tuberculosis;;51.642.598;33.020.327;18.622.272;8;1.149.388;664.831;5.780.120;11.469.978;5.769.042;4.509.076;3.677.884;12;1.162.846;849.121;4.073.554;5.361.728;2.501.521;2.283.118;2.390.372
40;;;2.;STDs excluding HIV;;12.791.103;5.992.267;6.798.836;709.444;2.589.083;439.388;928.720;1.131.034;116.989;41.104;36.506;573.548;3.184.081;838.987;746.496;1.151.477;172.886;79.746;51.615
50;;;;a.;Syphilis;8.634.659;3.915.452;4.719.207;709.444;2.589.083;429.961;25.322;63.657;38.624;29.125;30.238;573.548;3.184.081;822.852;47.900;34.651;19.984;17.071;19.118
60;;;;b.;Chlamydia;1.298.215;654.034;644.181;0;0;2.760;405.568;236.967;7.748;971;19;0;0;5.586;238.280;352.673;35.736;8.672;3.234
70;;;;c.;Gonorrhoea;1.476.702;1.055.896;420.806;0;0;4.729;363.186;638.166;47.995;1.567;253;0;0;3.953;162.518;206.734;24.694;12.650;10.256
80;;;;d.;Trichomoniasis;198.041;0;198.041;0;0;0;0;0;0;0;0;0;0;1.215;77.977;85.394;21.059;8.300;4.096
85;;;;e.;Genital herpes;221.178;83.419;137.759;0;0;697;17.868;36.392;13.691;8.922;5.847;0;0;1.446;32.417;55.906;21.355;14.810;11.824
90;;;;f.;Other STDs;962.309;283.466;678.843;0;0;1.240;116.776;155.852;8.931;518;149;0;0;3.934;187.403;416.118;50.058;18.243;3.086
100;;;3.;HIV/AIDS;;59.951.098;33.995.425;25.955.672;31.071;3.042.864;2.146.079;5.218.067;19.012.538;3.448.041;890.350;206.415;31.059;2.955.019;2.046.833;5.302.709;13.239.645;1.789.354;479.326;111.727
110;;;4.;Diarrhoeal diseases;;81.742.554;41.412.040;40.330.514;836.267;22.502.969;4.051.231;3.685.756;3.736.609;1.796.072;2.123.043;2.680.092;715.855;21.211.873;3.961.236;3.672.951;2.935.150;1.737.333;2.418.109;3.678.007
120;;;5.;Childhood-cluster diseases;;12.961.656;6.743.907;6.217.750;1.785.761;3.405.172;885.159;280.112;206.684;90.627;54.313;36.079;1.106.506;3.502.622;1.143.660;232.130;109.004;41.779;45.172;36.877
130;;;;a.;Whooping cough;894.407;372.827;521.581;104;49.205;287.365;25.511;7.178;3.366;37;60;104;54.936;423.181;35.031;6.712;1.519;9;89
140;;;;b.;Diphtheria;120.813;61.695;59.118;0;42.385;12.304;3.307;2.279;1.387;17;15;0;41.709;12.608;2.563;1.555;662;0;22
150;;;;c.;Measles;7.957.226;3.845.974;4.111.252;0;3.288.602;468.163;50.363;7.824;5.442;10.416;15.165;0;3.391.108;608.795;85.367;14.873;3.392;6.926;791
160;;;;d.;Tetanus;3.989.210;2.463.412;1.525.798;1.785.657;24.980;117.327;200.932;189.403;80.431;43.843;20.839;1.106.402;14.870;99.076;109.169;85.864;36.205;38.237;35.975
170;;;6.;Meningitis;;20.277.308;10.685.255;9.592.053;7.140;3.750.881;2.470.027;2.198.638;1.357.574;407.887;305.770;187.338;6.464;3.855.153;2.150.771;1.768.144;980.595;324.916;256.942;249.068
180;;;7.;Encephalitis;;6.354.158;2.986.396;3.367.762;2.071;755.920;519.999;501.704;529.943;230.311;212.746;233.701;1.975;762.261;562.462;591.030;586.421;269.184;262.858;331.572
185;;;8.;Hepatitis;;7.464.903;3.850.984;3.613.919;12;476.183;346.561;825.742;1.076.771;489.623;364.844;271.249;9;492.727;507.089;870.776;781.327;323.426;320.866;317.699
186;;;;a.;Acute hepatitis A;516.283;248.759;267.524;0;164.353;10.788;21.928;17.402;13.078;10.384;10.827;0;181.655;14.018;26.449;13.136;8.361;9.087;14.817
190;;;;b.;Acute hepatitis B;4.698.429;2.572.816;2.125.612;12;136.228;53.578;506.577;951.572;426.902;310.290;187.657;9;118.357;55.010;512.139;690.752;280.124;267.595;201.626
200;;;;c.;Acute hepatitis C;103.554;50.760;52.794;0;1.891;9.138;7.918;9.815;8.893;8.180;4.926;0;1.663;9.536;9.584;8.645;8.426;8.779;6.161
205;;;;d.;Acute hepatitis E;2.146.638;978.649;1.167.989;0;173.712;273.057;289.319;97.981;40.750;35.990;67.839;0;191.053;428.525;322.604;68.793;26.515;35.405;95.095
