Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;South-East Asia Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2016;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;1.947.631;997.199;950.433;1.505;89.620;190.593;267.778;271.293;90.253;54.107;32.050;1.381;82.254;174.331;248.455;261.656;88.757;55.409;38.188
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;712.521.842;381.324.576;331.197.266;39.376.138;30.228.194;20.423.206;47.895.998;86.059.748;54.342.329;53.442.739;49.556.224;35.821.171;32.864.620;18.512.883;44.026.494;65.180.673;39.382.472;43.791.495;51.617.457
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;218.940.296;109.365.467;109.574.829;34.522.815;22.444.449;8.304.290;8.549.119;15.175.271;6.842.615;6.321.806;7.205.103;30.921.893;24.910.110;8.522.385;12.791.225;13.543.299;4.915.605;5.719.365;8.250.947
20;;A.;Infectious and parasitic diseases;;;85.823.401;47.271.687;38.551.714;674.191;9.876.000;3.845.826;6.017.785;12.636.806;5.447.576;4.622.928;4.150.573;556.947;11.311.691;3.949.144;5.542.133;6.792.345;2.986.562;3.363.058;4.049.835
30;;;1.;Tuberculosis;;23.836.349;15.680.597;8.155.752;1;178.914;163.119;1.869.756;5.516.284;3.212.046;2.660.346;2.080.131;3;194.828;190.576;1.554.985;2.461.995;1.288.931;1.214.301;1.250.133
40;;;2.;STDs excluding HIV;;1.702.698;786.379;916.320;61.786;185.790;19.064;158.560;320.877;20.921;10.595;8.786;53.250;255.709;39.547;154.301;322.820;55.116;23.486;12.091
50;;;;a.;Syphilis;701.815;315.553;386.262;61.786;185.790;17.474;7.731;17.224;9.441;8.374;7.733;53.250;255.709;36.668;10.800;11.344;7.914;5.840;4.737
60;;;;b.;Chlamydia;257.812;80.442;177.370;0;0;406;42.257;36.174;1.463;140;2;0;0;1.273;51.494;107.280;13.260;3.064;999
70;;;;c.;Gonorrhoea;434.268;307.954;126.313;0;0;841;86.028;214.672;6.012;324;78;0;0;520;34.324;70.974;11.321;5.923;3.252
80;;;;d.;Trichomoniasis;37.356;0;37.356;0;0;0;0;0;0;0;0;0;0;187;14.222;16.803;4.105;1.432;608
85;;;;e.;Genital herpes;39.397;16.900;22.497;0;0;124;3.382;7.980;2.830;1.654;931;0;0;174;4.663;10.255;3.670;2.241;1.495
90;;;;f.;Other STDs;232.050;65.529;166.521;0;0;219;19.162;44.827;1.175;103;42;0;0;725;38.798;106.165;14.847;4.986;1.000
100;;;3.;HIV/AIDS;;7.591.322;5.138.159;2.453.162;2.615;268.157;157.872;929.077;3.359.884;363.398;51.450;5.706;2.615;249.084;155.294;576.532;1.348.075;104.408;15.345;1.810
110;;;4.;Diarrhoeal diseases;;24.761.834;11.502.240;13.259.594;248.068;5.019.536;947.397;818.358;1.149.694;811.498;1.100.991;1.406.700;256.170;6.065.654;879.565;957.627;901.770;825.447;1.326.530;2.046.831
120;;;5.;Childhood-cluster diseases;;3.830.048;1.938.644;1.891.404;309.701;1.307.230;110.337;42.666;65.355;45.988;31.755;25.613;230.467;1.338.319;161.601;62.795;33.611;16.834;29.011;18.766
130;;;;a.;Whooping cough;118.267;50.335;67.932;0;9.419;35.951;1.732;1.170;2.064;0;0;0;10.992;49.053;6.637;979;272;0;0
140;;;;b.;Diphtheria;7.399;3.967;3.432;0;1.873;787;229;372;706;0;0;0;2.068;692;374;198;99;0;0
150;;;;c.;Measles;2.852.890;1.393.182;1.459.708;0;1.288.125;57.417;12.735;4.357;4.994;10.408;15.147;0;1.320.119;88.194;30.865;9.831;3.040;6.875;784
160;;;;d.;Tetanus;851.492;491.160;360.332;309.701;7.812;16.183;27.970;59.456;38.224;21.347;10.467;230.467;5.140;23.662;24.920;22.603;13.423;22.136;17.981
170;;;6.;Meningitis;;3.483.213;1.663.881;1.819.332;30;553.504;341.927;315.526;261.950;95.120;64.450;31.373;75;765.587;306.445;324.067;213.955;88.438;69.391;51.373
180;;;7.;Encephalitis;;2.729.634;1.169.337;1.560.297;13;377.713;226.889;193.498;182.726;75.458;69.635;43.404;18;441.719;314.772;268.610;212.688;99.692;112.271;110.527
185;;;8.;Hepatitis;;4.236.197;2.172.720;2.063.477;4;222.637;181.977;451.750;670.923;302.259;205.348;137.823;2;254.097;351.321;494.465;441.811;161.789;196.743;163.250
186;;;;a.;Acute hepatitis A;246.836;116.725;130.111;0;79.602;4.692;12.179;9.439;4.827;3.355;2.631;0;90.186;7.226;15.687;7.224;3.028;3.464;3.296
190;;;;b.;Acute hepatitis B;2.572.042;1.434.311;1.137.730;4;58.563;17.471;218.976;579.607;269.343;181.153;109.195;2;59.109;26.925;239.112;380.521;141.043;167.454;123.564
200;;;;c.;Acute hepatitis C;44.584;22.013;22.571;0;168;1.433;2.931;4.701;4.898;4.654;3.228;0;142;2.322;3.774;3.406;3.218;5.394;4.315
205;;;;d.;Acute hepatitis E;1.372.736;599.670;773.065;0;84.304;158.380;217.664;77.176;23.191;16.186;22.769;0;104.659;314.847;235.892;50.660;14.500;20.432;32.075
210;;;9.;Parasitic and vector diseases;;5.783.048;3.052.613;2.730.435;8;509.926;637.657;637.350;668.511;271.754;199.160;128.247;10;669.914;614.137;492.940;415.148;183.912;189.560;164.815
220;;;;a.;Malaria;1.833.925;790.062;1.043.863;8;204.137;258.328;111.385;121.011;45.631;33.117;16.444;10;403.777;320.509;125.896;93.367;36.533;38.305;25.468
230;;;;b.;African Trypanosomiasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;;;;d.;Schistosomiasis;1.096;514;582;0;0;8;63;159;127;101;56;0;0;8;82;257;98;75;62
260;;;;e.;Leishmaniasis;369.211;186.338;182.873;0;64.209;34.275;32.839;29.174;10.670;8.436;6.733;0;61.167;33.140;36.739;26.678;9.383;8.907;6.859
270;;;;f.;lymphatic filariasis;428.721;362.139;66.581;0;0;25.068;72.298;163.681;61.773;28.298;11.022;0;0;3.138;11.828;28.312;13.199;6.981;3.124
280;;;;g.;Onchocerciasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;;;;h.;Cysticercosis;293.633;143.188;150.445;0;330;4.100;34.688;64.112;20.921;12.890;6.146;0;651;5.406;43.942;55.029;20.138;16.254;9.025
295;;;;i.;Echinococcosis;33.778;15.630;18.148;0;281;1.883;3.424;5.167;2.270;1.691;915;0;428;2.423;4.759;4.827;2.233;2.109;1.370
300;;;;j.;Dengue;2.284.098;1.218.745;1.065.353;0;229.524;214.853;304.628;239.007;96.072;78.783;55.878;0;194.562;204.362;244.083;179.112;84.361;80.496;78.376
310;;;;k.;Trachoma;133.059;57.125;75.935;0;0;0;12;2.897;7.942;19.381;26.893;0;0;0;27;3.601;9.588;24.974;37.745
315;;;;l.;Yellow fever;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;;;;m.;Rabies;405.527;278.873;126.654;0;11.445;99.143;78.013;43.302;26.348;16.464;4.159;0;9.329;45.152;25.585;23.964;8.380;11.458;2.786
330;;;10.;Intestinal nematode infections;;1.290.329;608.010;682.319;0;49.251;121.604;155.333;157.596;57.316;38.250;28.661;0;56.603;117.996;181.970;192.269;60.342;39.443;33.696
