Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Western Pacific Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;1.879.161;959.268;919.893;1.081;63.621;121.951;219.314;292.603;119.052;85.743;55.904;960;56.254;107.852;201.722;281.899;116.317;86.908;67.980
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;507.668.966;273.095.980;234.572.987;8.328.568;9.578.119;7.554.580;24.521.872;52.464.230;41.414.738;56.458.491;72.775.382;6.904.923;8.003.356;6.282.453;20.307.059;46.232.141;32.773.067;43.634.362;70.435.626
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;49.327.039;26.404.584;22.922.455;6.498.429;4.647.691;1.326.368;2.412.552;4.328.064;1.972.657;2.032.823;3.186.000;5.366.885;3.774.982;1.249.455;2.693.719;3.924.070;1.472.713;1.495.697;2.944.934
20;;A.;Infectious and parasitic diseases;;;17.749.371;10.301.566;7.447.805;110.846;1.742.031;589.629;1.461.487;3.070.944;1.279.163;1.084.266;963.201;83.593;1.303.183;576.793;1.165.288;1.975.705;767.686;751.912;823.645
30;;;1.;Tuberculosis;;4.261.333;2.758.886;1.502.447;1;41.557;43.496;336.601;739.264;490.244;559.603;548.120;2;27.172;40.191;251.635;394.158;204.596;268.456;316.238
40;;;2.;STDs excluding HIV;;1.117.858;497.034;620.823;27.226;60.197;5.004;223.624;148.388;15.103;9.629;7.864;23.101;73.081;7.274;124.823;304.782;51.288;24.054;12.422
50;;;;a.;Syphilis;244.764;121.988;122.776;27.226;60.197;3.863;2.803;9.177;6.243;6.276;6.204;23.101;73.081;5.485;2.158;5.855;4.126;4.198;4.772
60;;;;b.;Chlamydia;453.896;297.250;156.646;0;0;825;184.953;107.016;3.970;478;8;0;0;642;52.065;89.203;11.183;2.838;715
70;;;;c.;Gonorrhoea;59.612;8.880;50.731;0;0;86;4.552;3.543;462;188;50;0;0;262;11.863;30.178;3.749;2.460;2.219
80;;;;d.;Trichomoniasis;43.051;0;43.051;0;0;0;0;0;0;0;0;0;0;121;13.471;20.287;5.673;2.384;1.116
85;;;;e.;Genital herpes;51.578;20.286;31.293;0;0;90;3.461;8.884;3.722;2.555;1.574;0;0;149;5.579;13.147;5.507;3.987;2.925
90;;;;f.;Other STDs;264.957;48.631;216.327;0;0;140;27.854;19.768;706;132;29;0;0;614;39.688;146.113;21.050;8.187;675
100;;;3.;HIV/AIDS;;2.246.592;1.752.423;494.169;284;30.224;12.768;150.059;1.150.107;309.899;80.979;18.103;284;26.307;11.338;74.626;310.045;54.112;13.803;3.655
110;;;4.;Diarrhoeal diseases;;2.625.543;1.487.891;1.137.652;40.198;903.708;94.106;128.212;133.661;61.105;56.739;70.162;27.582;578.808;95.356;106.383;101.376;59.129;65.083;103.935
120;;;5.;Childhood-cluster diseases;;293.540;154.471;139.069;16.934;87.126;16.891;7.574;13.282;6.104;3.915;2.644;19.458;90.946;13.754;3.892;3.846;2.038;2.424;2.711
130;;;;a.;Whooping cough;14.162;6.788;7.374;0;2.135;3.723;535;273;88;31;3;0;2.444;4.006;569;244;76;26;9
140;;;;b.;Diphtheria;3.195;1.571;1.623;0;709;567;124;100;72;0;0;0;573;817;96;75;56;0;6
150;;;;c.;Measles;183.396;90.332;93.064;0;83.329;6.540;403;43;11;0;6;0;87.025;5.369;561;102;7;0;0
